GeneName	GeneID	Description
BCAP29	ENSG00000075790	B cell receptor associated protein 29(BCAP29)
BCL2	ENSG00000171791	BCL2 apoptosis regulator(BCL2)
BCL2A1	ENSG00000140379	BCL2 related protein A1(BCL2A1)
BCL3	ENSG00000069399	BCL3 transcription coactivator(BCL3)
BCL6B	ENSG00000161940	BCL6B transcription repressor(BCL6B)
BCL7B	ENSG00000106635	BAF chromatin remodeling complex subunit BCL7B(BCL7B)
BCL11A	ENSG00000119866	BAF chromatin remodeling complex subunit BCL11A(BCL11A)
BCL11B	ENSG00000127152	BAF chromatin remodeling complex subunit BCL11B(BCL11B)
BDNF-AS	ENSG00000245573	BDNF antisense RNA(BDNF-AS)
BDP1	ENSG00000145734	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)
BEGAIN	ENSG00000183092	brain enriched guanylate kinase associated(BEGAIN)
BEND5	ENSG00000162373	BEN domain containing 5(BEND5)
BEND7	ENSG00000165626	BEN domain containing 7(BEND7)
BEX2	ENSG00000133134	brain expressed X-linked 2(BEX2)
BHLHE40	ENSG00000134107	basic helix-loop-helix family member e40(BHLHE40)
BHLHE41	ENSG00000123095	basic helix-loop-helix family member e41(BHLHE41)
BICC1	ENSG00000122870	BicC family RNA binding protein 1(BICC1)
BIN3	ENSG00000147439	bridging integrator 3(BIN3)
BIRC3	ENSG00000023445	baculoviral IAP repeat containing 3(BIRC3)
BIRC6	ENSG00000115760	baculoviral IAP repeat containing 6(BIRC6)
BIRC7	ENSG00000101197	baculoviral IAP repeat containing 7(BIRC7)
BLK	ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase(BLK)
ARNTL	ENSG00000133794	basic helix-loop-helix ARNT like 1(BMAL1)
ARNTL2	ENSG00000029153	basic helix-loop-helix ARNT like 2(BMAL2)
BMI1P1	ENSG00000234201	BMI1 proto-oncogene, polycomb ring finger pseudogene 1(BMI1P1)
BMS1	ENSG00000165733	BMS1 ribosome biogenesis factor(BMS1)
BMX	ENSG00000102010	BMX non-receptor tyrosine kinase(BMX)
BOLL	ENSG00000152430	boule homolog, RNA binding protein(BOLL)
BPI	ENSG00000101425	bactericidal permeability increasing protein(BPI)
BRCC3	ENSG00000185515	BRCA1/BRCA2-containing complex subunit 3(BRCC3)
BRINP3	ENSG00000162670	BMP/retinoic acid inducible neural specific 3(BRINP3)
BRIX1	ENSG00000113460	biogenesis of ribosomes BRX1(BRIX1)
BRSK2	ENSG00000174672	BR serine/threonine kinase 2(BRSK2)
BRWD1	ENSG00000185658	bromodomain and WD repeat domain containing 1(BRWD1)
BSG	ENSG00000172270	basigin (Ok blood group)(BSG)
BSN	ENSG00000164061	bassoon presynaptic cytomatrix protein(BSN)
BTBD9	ENSG00000183826	BTB domain containing 9(BTBD9)
BTNL8	ENSG00000113303	butyrophilin like 8(BTNL8)
BTRC	ENSG00000166167	beta-transducin repeat containing E3 ubiquitin protein ligase(BTRC)
BUD13	ENSG00000137656	BUD13 homolog(BUD13)
BZW2	ENSG00000136261	basic leucine zipper and W2 domains 2(BZW2)
C1orf54	ENSG00000118292	chromosome 1 open reading frame 54(C1orf54)
C1orf94	ENSG00000142698	chromosome 1 open reading frame 94(C1orf94)
C1QA	ENSG00000173372	complement C1q A chain(C1QA)
C1QC	ENSG00000159189	complement C1q C chain(C1QC)
C1QL1	ENSG00000131094	complement C1q like 1(C1QL1)
C1QTNF4	ENSG00000172247	C1q and TNF related 4(C1QTNF4)
C1RL	ENSG00000139178	complement C1r subcomponent like(C1RL)
C2orf74	ENSG00000237651	chromosome 2 open reading frame 74(C2orf74)
C3orf18	ENSG00000088543	chromosome 3 open reading frame 18(C3orf18)
C3orf62	ENSG00000188315	chromosome 3 open reading frame 62(C3orf62)
C4BPA	ENSG00000123838	complement component 4 binding protein alpha(C4BPA)
C5AR1	ENSG00000197405	complement C5a receptor 1(C5AR1)
C12orf42	ENSG00000179088	chromosome 12 open reading frame 42(C12orf42)
C14orf39	ENSG00000179008	chromosome 14 open reading frame 39(C14orf39)
C14orf132	ENSG00000227051	chromosome 14 open reading frame 132(C14orf132)
C16orf78	ENSG00000166152	chromosome 16 open reading frame 78(C16orf78)
C20orf27	ENSG00000101220	chromosome 20 open reading frame 27(C20orf27)
CA4	ENSG00000167434	carbonic anhydrase 4(CA4)
CA5A	ENSG00000174990	carbonic anhydrase 5A(CA5A)
CA6	ENSG00000131686	carbonic anhydrase 6(CA6)
CA10	ENSG00000154975	carbonic anhydrase 10(CA10)
CA14	ENSG00000118298	carbonic anhydrase 14(CA14)
CABYR	ENSG00000154040	calcium binding tyrosine phosphorylation regulated(CABYR)
CABYRP1	ENSG00000242983	calcium binding tyrosine phosphorylation regulated pseudogene 1(CABYRP1)
CACNA1C	ENSG00000151067	calcium voltage-gated channel subunit alpha1 C(CACNA1C)
CACNA1I	ENSG00000100346	calcium voltage-gated channel subunit alpha1 I(CACNA1I)
CACNA2D2	ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2(CACNA2D2)
CACNA2D3	ENSG00000157445	calcium voltage-gated channel auxiliary subunit alpha2delta 3(CACNA2D3)
CACNB2	ENSG00000165995	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
CADM1	ENSG00000182985	cell adhesion molecule 1(CADM1)
CADM2	ENSG00000175161	cell adhesion molecule 2(CADM2)
CALCOCO2	ENSG00000136436	calcium binding and coiled-coil domain 2(CALCOCO2)
CALN1	ENSG00000183166	calneuron 1(CALN1)
CAMK2D	ENSG00000145349	calcium/calmodulin dependent protein kinase II delta(CAMK2D)
CAMK2N1	ENSG00000162545	calcium/calmodulin dependent protein kinase II inhibitor 1(CAMK2N1)
CAMK4	ENSG00000152495	calcium/calmodulin dependent protein kinase IV(CAMK4)
CAMKK1	ENSG00000004660	calcium/calmodulin dependent protein kinase kinase 1(CAMKK1)
CAMKMT	ENSG00000143919	calmodulin-lysine N-methyltransferase(CAMKMT)
CAMKV	ENSG00000164076	CaM kinase like vesicle associated(CAMKV)
CAMTA1	ENSG00000171735	calmodulin binding transcription activator 1(CAMTA1)
CAND2	ENSG00000144712	cullin associated and neddylation dissociated 2 (putative)(CAND2)
CANT1	ENSG00000171302	calcium activated nucleotidase 1(CANT1)
CAPRIN1	ENSG00000135387	cell cycle associated protein 1(CAPRIN1)
CAPZA1	ENSG00000116489	capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)
CARD8	ENSG00000105483	caspase recruitment domain family member 8(CARD8)
CARTPT	ENSG00000164326	CART prepropeptide(CARTPT)
CASC16	ENSG00000249231	cancer susceptibility 16(CASC16)
CASC18	ENSG00000257859	cancer susceptibility 18(CASC18)
CASK	ENSG00000147044	calcium/calmodulin dependent serine protein kinase(CASK)
CASP8	ENSG00000064012	caspase 8(CASP8)
CATSPER2	ENSG00000166762	cation channel sperm associated 2(CATSPER2)
CAV3	ENSG00000182533	caveolin 3(CAV3)
CAVIN3	ENSG00000170955	caveolae associated protein 3(CAVIN3)
CBL	ENSG00000110395	Cbl proto-oncogene(CBL)
CBS	ENSG00000160200	cystathionine beta-synthase(CBS)
CBX1	ENSG00000108468	chromobox 1(CBX1)
CCAR2	ENSG00000158941	cell cycle and apoptosis regulator 2(CCAR2)
CCDC12	ENSG00000160799	coiled-coil domain containing 12(CCDC12)
CCDC17	ENSG00000159588	coiled-coil domain containing 17(CCDC17)
CCDC61	ENSG00000104983	coiled-coil domain containing 61(CCDC61)
CCDC81	ENSG00000149201	coiled-coil domain containing 81(CCDC81)
CCDC85B	ENSG00000175602	coiled-coil domain containing 85B(CCDC85B)
CCDC85C	ENSG00000205476	coiled-coil domain containing 85C(CCDC85C)
CCDC87	ENSG00000182791	coiled-coil domain containing 87(CCDC87)
CCDC88A	ENSG00000115355	coiled-coil domain containing 88A(CCDC88A)
CCDC88B	ENSG00000168071	coiled-coil domain containing 88B(CCDC88B)
CCDC90B	ENSG00000137500	coiled-coil domain containing 90B(CCDC90B)
CCDC91	ENSG00000123106	coiled-coil domain containing 91(CCDC91)
CCDC153	ENSG00000248712	coiled-coil domain containing 153(CCDC153)
CCHCR1	ENSG00000204536	coiled-coil alpha-helical rod protein 1(CCHCR1)
CCL23	ENSG00000274736	C-C motif chemokine ligand 23(CCL23)
CCNG2	ENSG00000138764	cyclin G2(CCNG2)
CCNH	ENSG00000134480	cyclin H(CCNH)
CCNJL	ENSG00000135083	cyclin J like(CCNJL)
CCR7	ENSG00000126353	C-C motif chemokine receptor 7(CCR7)
CCR9	ENSG00000173585	C-C motif chemokine receptor 9(CCR9)
CCT6B	ENSG00000132141	chaperonin containing TCP1 subunit 6B(CCT6B)
CD3E	ENSG00000198851	CD3 epsilon subunit of T-cell receptor complex(CD3E)
CD3G	ENSG00000160654	CD3 gamma subunit of T-cell receptor complex(CD3G)
CD5	ENSG00000110448	CD5 molecule(CD5)
CD8B	ENSG00000172116	CD8b molecule(CD8B)
CD8B2	ENSG00000254126	CD8b2 molecule(CD8B2)
CD22	ENSG00000012124	CD22 molecule(CD22)
CD28	ENSG00000178562	CD28 molecule(CD28)
CD38	ENSG00000004468	CD38 molecule(CD38)
CD46	ENSG00000117335	CD46 molecule(CD46)
CD59	ENSG00000085063	CD59 molecule (CD59 blood group)(CD59)
CD83	ENSG00000112149	CD83 molecule(CD83)
CD93	ENSG00000125810	CD93 molecule(CD93)
CD96	ENSG00000153283	CD96 molecule(CD96)
CD177	ENSG00000204936	CD177 molecule(CD177)
CD200	ENSG00000091972	CD200 molecule(CD200)
CD248	ENSG00000174807	CD248 molecule(CD248)
CD300C	ENSG00000167850	CD300c molecule(CD300C)
CD300LF	ENSG00000186074	CD300 molecule like family member f(CD300LF)
CDA	ENSG00000158825	cytidine deaminase(CDA)
CDC25C	ENSG00000158402	cell division cycle 25C(CDC25C)
CDC42EP3	ENSG00000163171	CDC42 effector protein 3(CDC42EP3)
CDC42SE1	ENSG00000197622	CDC42 small effector 1(CDC42SE1)
CDCA7L	ENSG00000164649	cell division cycle associated 7 like(CDCA7L)
CDH4	ENSG00000179242	cadherin 4(CDH4)
CDH13	ENSG00000140945	cadherin 13(CDH13)
CDH19	ENSG00000071991	cadherin 19(CDH19)
CDH23	ENSG00000107736	cadherin related 23(CDH23)
CDIPT	ENSG00000103502	CDP-diacylglycerol--inositol 3-phosphatidyltransferase(CDIPT)
CDK1	ENSG00000170312	cyclin dependent kinase 1(CDK1)
CDK4	ENSG00000135446	cyclin dependent kinase 4(CDK4)
CDR2	ENSG00000140743	cerebellar degeneration related protein 2(CDR2)
CDR2L	ENSG00000109089	cerebellar degeneration related protein 2 like(CDR2L)
CDS2	ENSG00000101290	CDP-diacylglycerol synthase 2(CDS2)
CEACAM1	ENSG00000079385	CEA cell adhesion molecule 1(CEACAM1)
CEACAM3	ENSG00000170956	CEA cell adhesion molecule 3(CEACAM3)
CEMIP2	ENSG00000135048	cell migration inducing hyaluronidase 2(CEMIP2)
CENPH	ENSG00000153044	centromere protein H(CENPH)
CEP68	ENSG00000011523	centrosomal protein 68(CEP68)
CES5A	ENSG00000159398	carboxylesterase 5A(CES5A)
CFAP61	ENSG00000089101	cilia and flagella associated protein 61(CFAP61)
CFLAR	ENSG00000003402	CASP8 and FADD like apoptosis regulator(CFLAR)
CHCHD3	ENSG00000106554	coiled-coil-helix-coiled-coil-helix domain containing 3(CHCHD3)
CHD6	ENSG00000124177	chromodomain helicase DNA binding protein 6(CHD6)
CHIC2	ENSG00000109220	cysteine rich hydrophobic domain 2(CHIC2)
CHMP1A	ENSG00000131165	charged multivesicular body protein 1A(CHMP1A)
CHPF2	ENSG00000033100	chondroitin polymerizing factor 2(CHPF2)
CHRM1	ENSG00000168539	cholinergic receptor muscarinic 1(CHRM1)
CHRNA10	ENSG00000129749	cholinergic receptor nicotinic alpha 10 subunit(CHRNA10)
CHRNB2	ENSG00000160716	cholinergic receptor nicotinic beta 2 subunit(CHRNB2)
CHST7	ENSG00000147119	carbohydrate sulfotransferase 7(CHST7)
CHST11	ENSG00000171310	carbohydrate sulfotransferase 11(CHST11)
CHST15	ENSG00000182022	carbohydrate sulfotransferase 15(CHST15)
CHSY1	ENSG00000131873	chondroitin sulfate synthase 1(CHSY1)
CIART	ENSG00000159208	circadian associated repressor of transcription(CIART)
CIB3	ENSG00000141977	calcium and integrin binding family member 3(CIB3)
CIPC	ENSG00000198894	CLOCK interacting pacemaker(CIPC)
CIR1	ENSG00000138433	corepressor interacting with RBPJ, CIR1(CIR1)
CLDN4	ENSG00000189143	claudin 4(CLDN4)
CLEC2D	ENSG00000069493	C-type lectin domain family 2 member D(CLEC2D)
CLEC4C	ENSG00000198178	C-type lectin domain family 4 member C(CLEC4C)
CLEC4E	ENSG00000166523	C-type lectin domain family 4 member E(CLEC4E)
CLEC18B	ENSG00000140839	C-type lectin domain family 18 member B(CLEC18B)
CLIP1	ENSG00000130779	CAP-Gly domain containing linker protein 1(CLIP1)
CLN5	ENSG00000102805	CLN5 intracellular trafficking protein(CLN5)
CLOCK	ENSG00000134852	clock circadian regulator(CLOCK)
CLUAP1	ENSG00000103351	clusterin associated protein 1(CLUAP1)
CLYBL	ENSG00000125246	citramalyl-CoA lyase(CLYBL)
CMC4	ENSG00000182712	C-X9-C motif containing 4(CMC4)
CMTM2	ENSG00000140932	CKLF like MARVEL transmembrane domain containing 2(CMTM2)
CMTM5	ENSG00000166091	CKLF like MARVEL transmembrane domain containing 5(CMTM5)
CMTM8	ENSG00000170293	CKLF like MARVEL transmembrane domain containing 8(CMTM8)
CNBD1	ENSG00000176571	cyclic nucleotide binding domain containing 1(CNBD1)
CNPY3	ENSG00000137161	canopy FGF signaling regulator 3(CNPY3)
CNTN4	ENSG00000144619	contactin 4(CNTN4)
CNTN5	ENSG00000149972	contactin 5(CNTN5)
CNTNAP2	ENSG00000174469	contactin associated protein 2(CNTNAP2)
CNTNAP3	ENSG00000106714	contactin associated protein family member 3(CNTNAP3)
